stop_id,stop_name,stop_lat,stop_lon
2_95,вул. Північна,50.52825164794922,30.51666831970215
2_97,вул. Північна,50.52811050415039,30.516511917114258
2_98,вул. Північна,50.528106689453125,30.516809463500977
2_99,вул. Північна,50.52809524536133,30.516374588012695
2_5720,вул. Приозерна,50.49497604370117,30.51993751525879
2_5721,вул. Приозерна,50.49517059326172,30.519498825073242
2_8040,вул. Приозерна,50.494449615478516,30.520404815673828
2_10804,вул. С.Лифаря,50.51248550415039,30.613325119018555
2_143,вул. С.Лифаря,50.51152420043945,30.61261558532715
2_5361,вул. С.Лифаря,50.511024475097656,30.611974716186523
2_5372,вул. С.Лифаря,50.51091003417969,30.611934661865234
2_5700,вул. С.Лифаря,50.513431549072266,30.614625930786133
2_5644,вул. С.Лифаря 1,50.50995635986328,30.6106014251709
2_5701,вул. С.Лифаря 1,50.511802673339844,30.612953186035156
2_6106,вул. С.Лифаря 1,50.51167678833008,30.612808227539062
2_8297,вул. С.Лифаря 1,50.510711669921875,30.611539840698242
2_9785,вул. С.Лифаря 1,50.51092529296875,30.61189079284668
2_221,вул. Скоропадського,50.44010543823242,30.497831344604492
2_240,вул. Скоропадського,50.43989562988281,30.498003005981445
2_192,вул. Смілянська,50.421810150146484,30.454669952392578
2_199,вул. Смілянська,50.421630859375,30.455223083496094
2_4680,вул. Смілянська 1,50.42104721069336,30.457075119018555
2_5547,вул. Смілянська 1,50.42051315307617,30.456846237182617
2_101,вул. Сошенка,50.52140426635742,30.44695281982422
2_4569,вул. Сошенка,50.52190399169922,30.446060180664062
2_5130,вул. Сошенка,50.52120590209961,30.447345733642578
2_5133,вул. Сошенка,50.52132034301758,30.447229385375977
2_7350,вул. Сошенка,50.5219841003418,30.444660186767578
2_7355,вул. Сошенка,50.522029876708984,30.44469451904297
2_7349,вул. Сошенка (пр),50.52198028564453,30.445890426635742
2_7354,вул. Сошенка (пр),50.52168655395508,30.446491241455078
2_30,вул. Стеценка,50.480934143066406,30.40574836730957
2_44,вул. Стеценка,50.48054504394531,30.405698776245117
2_9895,вул. Стеценка,50.483306884765625,30.405670166015625
2_5924,вул. Токарева,50.42390823364258,30.463180541992188
2_23,вул. Тулузи,50.43080520629883,30.368350982666016
2_28,вул. Тулузи,50.42966079711914,30.36419105529785
2_183,вул. Чапека,50.437870025634766,30.475603103637695
2_185,вул. Чапека,50.437042236328125,30.474647521972656
2_193,вул. Чапека,50.43787384033203,30.475650787353516
2_9771,вул. Чапека,50.43704605102539,30.474626541137695
2_8646,вул. Чорн. Зап.,50.47822570800781,30.59545135498047
2_8647,вул. Чорн. Зап.,50.478912353515625,30.594924926757812
2_8654,вул. Чорн. Зап.,50.47796630859375,30.59522247314453
2_8655,вул. Чорн. Зап.,50.47925567626953,30.595155715942383
2_8662,вул. Чорн. Зап.,50.477840423583984,30.59528923034668
2_8663,вул. Чорн. Зап.,50.479469299316406,30.595083236694336
2_37,вул. Чорнобильська,50.459720611572266,30.346864700317383
