shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_39_0,50.452911376953125,30.488609313964844,150,
1_39_1,50.43369674682617,30.41199493408203,150,
1_4_0,50.42781066894531,30.385406494140625,150,
1_4_1,50.40865707397461,30.40157127380371,150,
1_40_0,50.485496520996094,30.473661422729492,150,
1_40_1,50.506866455078125,30.488876342773438,150,
1_41_0,50.460899353027344,30.486650466918945,150,
1_41_1,50.4623908996582,30.501976013183594,150,
1_42_0,50.50481033325195,30.459125518798828,150,
1_42_1,50.49103927612305,30.46483039855957,150,
1_46_0,50.45265579223633,30.634145736694336,150,
1_46_1,50.43148422241211,30.650741577148438,150,
1_5_0,50.44697952270508,30.481975555419922,150,
1_5_1,50.43265914916992,30.398191452026367,150,
1_51_0,50.45527648925781,30.633220672607422,150,
1_51_1,50.42236328125,30.65648651123047,150,
1_667_0,50.440486907958984,30.66112518310547,150,
1_667_1,50.43840789794922,30.640377044677734,150,
1_1_0,50.44596862792969,30.458778381347656,160,
1_1_1,50.439735412597656,30.426105499267578,160,
1_36_0,50.49345016479492,30.462121963500977,160,
1_36_1,50.49995803833008,30.46609115600586,160,
1_37_0,50.48601531982422,30.47321319580078,160,
1_37_1,50.526363372802734,30.391616821289062,160,
1_38_0,50.463134765625,30.50436782836914,160,
1_38_1,50.43416976928711,30.412006378173828,160,
1_389_0,50.499332427978516,30.463214874267578,160,
1_389_1,50.526214599609375,30.388078689575195,160,
1_39_0,50.45676803588867,30.48682975769043,160,
1_39_1,50.43416976928711,30.412006378173828,160,
1_4_0,50.425445556640625,30.384431838989258,160,
1_4_1,50.40919494628906,30.400184631347656,160,
1_40_0,50.4863166809082,30.47272491455078,160,
1_40_1,50.501564025878906,30.491540908813477,160,
1_41_0,50.460872650146484,30.488525390625,160,
1_41_1,50.4621467590332,30.50011444091797,160,
1_42_0,50.50285720825195,30.459766387939453,160,
1_42_1,50.49345016479492,30.462121963500977,160,
1_46_0,50.4510612487793,30.635217666625977,160,
1_46_1,50.43034362792969,30.646623611450195,160,
1_5_0,50.44725799560547,30.480045318603516,160,
1_5_1,50.43490219116211,30.40694808959961,160,
1_51_0,50.45366287231445,30.63417625427246,160,
1_51_1,50.425743103027344,30.654396057128906,160,
1_667_0,50.44287109375,30.665624618530273,160,
1_667_1,50.439727783203125,30.63741683959961,160,
