name,geometry
Площа Тараса Шевченка,POINT (30.4513489 50.5207927)
Площа Тараса Шевченка,POINT (30.4504454 50.5210953)
Харківський масив,POINT (30.6441718 50.4127128)
Вул. Юності,POINT (30.6215172 50.4692189)
м. Чернігівська,POINT (30.6306454 50.4594287)
Вул. Андрія Малишка,POINT (30.6285067 50.4626925)
РПС,POINT (30.6288522 50.5287644)
вул. Рональда Рейгана,POINT (30.6062739 50.4984694)
Храм на честь Ікони Божої Матері «Всецариця»,POINT (30.6211251 50.528807)
Соцзабез,POINT (30.6284822 50.5256303)
бул. Леоніда Бикова,POINT (30.6267159 50.5171076)
Ліцей №293,POINT (30.623837 50.5293395)
Вул. Якова Гніздовського,POINT (30.6364671 50.4607256)
Вул. Анатолія Солов'яненка,POINT (30.6264428 50.4654814)
вулиця Чорних Запорожців,POINT (30.6066231 50.4799405)
Торговий комплекс,POINT (30.6107417 50.5006307)
Вулиця Сержа Лифаря,POINT (30.6209422 50.509387)
"Кіностудія ""Фільм Ю ЕЙ""",POINT (30.6153612 50.5037705)
просп. Алішера Навої,POINT (30.615213 50.471302)
Ринок «Привоз»,POINT (30.608189 50.4994443)
Школа мистецтв ім. Леонтовича,POINT (30.6190149 50.5073856)
Вул. Микитенка,POINT (30.6030116 50.4864579)
бул. Володимира Висоцького,POINT (30.6237033 50.5122907)
Поліклініка,POINT (30.6280794 50.5221715)
Контрактова площа,POINT (30.5167205 50.4652136)
вул. Сімферопольська,POINT (30.6450733 50.4300716)
просп. Леоніда Каденюка,POINT (30.6334404 50.4546391)
Автобусний парк,POINT (30.6331941 50.4406595)
Вулиця Машиністівська,POINT (30.6657093 50.4430194)
Вулиця Гроденська,POINT (30.6466281 50.4358143)
Вул. Довбуша,POINT (30.6706962 50.4457054)
Вул. Княгині Інгігерди,POINT (30.6425732 50.4372617)
вул. Батальйону Шейха Мансура,POINT (30.6746901 50.4479861)
База «Укроптбакалія»,POINT (30.6618935 50.4409824)
Вул. Профспілкова,POINT (30.6512393 50.438182)
"Житловий комплекс ""Мега-сіті""",POINT (30.6329163 50.4332468)
Залізничний вокзал «Дарниця»,POINT (30.6488455 50.4310274)
Дарницький ринок,POINT (30.6538558 50.4311537)
Завод «Ремшляхтехніка»,POINT (30.6636823 50.4294149)
Містечко,POINT (30.6876096 50.4251704)
Палац культури та техніки «Дніпро»,POINT (30.6678609 50.4286671)
,POINT (30.6764015 50.4271567)
Київський медичний університет. Київський коледж комп'ютерних технологій та економіки.,POINT (30.6576202 50.4304893)
Фармацевтична фірма «Дарниця»,POINT (30.6838465 50.4258351)
бул. Ярослава Гашека,POINT (30.6305238 50.4372789)
Вулиця Академіка Горбунова,POINT (30.6802597 50.4264722)
Вулиця Павла Усенка,POINT (30.6321218 50.4461806)
