name,geometry
Торговий центр,POINT (30.362546 50.4656548)
Торговий центр,POINT (30.3630622 50.4652083)
бул. Вернадського,POINT (30.3563263 50.4648149)
Станція метро Академмістечко,POINT (30.3540786 50.4647003)
Станція Новобіличі,POINT (30.3589123 50.4756839)
Вул. Набережно-Корчуватська,POINT (30.5509025 50.3708106)
Коломийський провулок,POINT (30.495213 50.3879933)
Готель «Голосіївський»,POINT (30.4865406 50.3845795)
Вул. Васильківська,POINT (30.4828659 50.3831725)
ст.м. Виставковий центр,POINT (30.4762655 50.3809463)
Готель «Голосіївський»,POINT (30.4849882 50.3842186)
вул. Лятошинського,POINT (30.453465 50.3754481)
Масив Теремки-I,POINT (30.4522919 50.375232)
Вул. Жилянська,POINT (30.51336 50.4332148)
Бабин Яр,POINT (30.4473049 50.4709121)
вулиця Глибочицька,POINT (30.4850731 50.4597848)
вул. Генерала Воробйова,POINT (30.4729135 50.435252)
Дніпровська набережна,POINT (30.5939417 50.4218286)
Вул. Казимира Малевича,POINT (30.5104581 50.4279653)
Вул. Білоруська,POINT (30.4703343 50.4657648)
Лук'янівська площа,POINT (30.4808401 50.4615769)
Станція метро «Лук'янівська»,POINT (30.4805082 50.4621488)
вул. Обсерваторна,POINT (30.502393 50.456272)
Автостанція Південна,POINT (30.4717801 50.3785581)
Автостанція Південна,POINT (30.4705574 50.3783857)
Голосіївський парк,POINT (30.5008906 50.3902595)
Вул. Васильківська,POINT (30.481718 50.3829097)
пров. Коломийський,POINT (30.4955997 50.388399)
Голосіївський парк,POINT (30.5013598 50.3906771)
Львівська площа,POINT (30.506407 50.4554405)
Вул. Федорова,POINT (30.5163073 50.4283595)
бул. Ігоря Шамо,POINT (30.5986041 50.4346589)
Готель «Славутич»,POINT (30.5949058 50.432907)
бул. Ігоря Шамо,POINT (30.6001544 50.4351509)
Пішохідний міст,POINT (30.598367 50.4435404)
Вул. Ентузіастів,POINT (30.5927301 50.4455678)
Вул. Ентузіастів,POINT (30.5929326 50.4454249)
Пошта №154,POINT (30.6054746 50.4375427)
Гідрометеорологічна,POINT (30.5311295 50.3931656)
Вул. Лисогірська,POINT (30.5294837 50.3900525)
вул. Федора Ернста,POINT (30.4613721 50.4155835)
вул. Святослава Хороброго,POINT (30.4556309 50.4164287)
вул. Святослава Хороброго,POINT (30.4565434 50.4160235)
Вул. Смілянська,POINT (30.4578469 50.4215359)
Площа Оболонська,POINT (30.5043426 50.5014245)
Станція метро «Оболонь»,POINT (30.5000054 50.5015981)
3-й мікрорайон,POINT (30.5066888 50.5039583)
Магазин,POINT (30.5097205 50.4961044)
Кінотеатр «Братислава»,POINT (30.5128211 50.4960566)
Кінотеатр «Братислава»,POINT (30.5128358 50.4958124)
Пожежна частина,POINT (30.4940943 50.5014875)
Станція метро «Почайна»,POINT (30.4998269 50.4887382)
Станція метро «Почайна»,POINT (30.4974961 50.487482)
Станція метро «Почайна»,POINT (30.4982166 50.4873295)
Станція метро «Почайна»,POINT (30.4981385 50.4862017)
Станція метро «Почайна»,POINT (30.4976624 50.4860651)
проспект Володимира Івасюка,POINT (30.5237989 50.4883403)
просп. Степана Бандери,POINT (30.5257507 50.488636)
Академія водного транспорту,POINT (30.5235373 50.4907949)
просп. Володимира Івасюка,POINT (30.5289048 50.4885017)
Вулиця Олександра Архипенка,POINT (30.5163834 50.4957033)
Вулиця Олександра Архипенка,POINT (30.5158641 50.4960832)
Парк відпочинку «Наталка»,POINT (30.5196199 50.4950054)
Інститут гідробіології,POINT (30.5125008 50.5031839)
Інститут гідробіології,POINT (30.5124885 50.5026129)
Дитяча академія мистецтв,POINT (30.5154633 50.4994204)
Школа мистецтв № 5,POINT (30.4915366 50.5029086)
Вулиця Богатирська,POINT (30.4878431 50.5069926)
вулиця Левка Лукʼяненка,POINT (30.4915798 50.5095808)
Вулиця Богатирська,POINT (30.4873261 50.5072994)
"Станція метро ""Мінська""",POINT (30.4979174 50.5131598)
Завод «Оболонь»,POINT (30.4842606 50.5128326)
вул. Анни Ахматової,POINT (30.637682 50.4107254)
Вул. Драгоманова,POINT (30.638768 50.4111192)
Південна Борщагівка,POINT (30.3911253 50.4081708)
Вул. Олександра Махова,POINT (30.3943476 50.414764)
Вул. Олександра Махова,POINT (30.3950513 50.4149889)
Бульвар Миколи Руденка,POINT (30.3887353 50.4176606)
Школа №131,POINT (30.3789577 50.4218646)
Школа 131,POINT (30.3781319 50.422033)
Видубичі,POINT (30.5579137 50.4028281)
вул. Олександри Екстер,POINT (30.6280267 50.5237205)
Вул. Лабораторна,POINT (30.5177817 50.4256786)
Автостоянка,POINT (30.6290037 50.4094872)
Агромат,POINT (30.3504838 50.4714033)
Агромат,POINT (30.3501628 50.4712613)
вул. Новодарницька,POINT (30.6442989 50.4243252)
Вул. Миколи Кибальчича,POINT (30.5849943 50.4911678)
Вул. Миколи Кибальчича,POINT (30.5853732 50.4912521)
Станція швидкісного трамваю «Індустріальна»,POINT (30.4412089 50.4439182)
Вул. Борщагівська,POINT (30.4424749 50.4436621)
Вул. Олекси Тихого,POINT (30.4434932 50.4481321)
Вул. Олекси Тихого,POINT (30.443528 50.4490181)
Вул. Лондонська,POINT (30.4533386 50.4352586)
Вул. Лондонська,POINT (30.4538307 50.4350806)
Вул. Борщагівська,POINT (30.4425652 50.4426913)
Вул. Андрія Мельника,POINT (30.439075 50.4433275)
вул. Милославська,POINT (30.6198895 50.526959)
Вул. Брацлавська,POINT (30.659741 50.4161479)
Вул. Брацлавська,POINT (30.6592814 50.4166856)
Міська лікарня №1,POINT (30.6650269 50.4128148)
Вул. Архітектора Вербицького,POINT (30.6689559 50.4090986)
Парк воїнів-інтернаціоналістів,POINT (30.6601944 50.4081677)
Парк воїнів-інтернаціоналістів,POINT (30.6588381 50.4081235)
Вул. Братства Тарасівців,POINT (30.6560161 50.4073494)
Вул. Братства Тарасівців,POINT (30.6556939 50.4062237)
вул. Привокзальна,POINT (30.6386332 50.4279964)
проспект Берестейський,POINT (30.3572607 50.4557164)
Ірпінська вул.,POINT (30.3560568 50.4597055)
Центральний палац урочистих подій,POINT (30.4800478 50.4490909)
Вулиця Вишгородська,POINT (30.4491819 50.505929)
Площа Тараса Шевченка,POINT (30.448348 50.5207731)
пр. Лісовий,POINT (30.6258291 50.4795333)
Вул. Мілютенка,POINT (30.6242164 50.4801609)
Вул. Професора Балінського,POINT (30.4554083 50.3801731)
Вул. Василя Касіяна,POINT (30.4568182 50.3791128)
вул. Докії Гуменної,POINT (30.452329 50.3824271)
вул. Докії Гуменної,POINT (30.4530718 50.3821722)
Вул. Професора Балінського,POINT (30.4547917 50.3809299)
вул. Василя Касіяна,POINT (30.4573534 50.3789965)
Вул. Драгоманова,POINT (30.6372975 50.4112339)
Бабин Яр,POINT (30.446537 50.4695858)
Вул. Олени Теліги,POINT (30.4494088 50.4780182)
вул. Велика Васильківська,POINT (30.5149391 50.436032)
Церква,POINT (30.639803 50.484442)
Авторинок,POINT (30.5935258 50.4842307)
вулиця Наталії Ужвій,POINT (30.437657 50.5043372)
Масив Мостицький,POINT (30.4447118 50.5051629)
проспект Європейського Союзу,POINT (30.4509197 50.5050711)
Вулиця Мостицька,POINT (30.451828 50.5009761)
Патріотів вул.,POINT (30.4304704 50.4229055)
Вацлава Гавела бульвар,POINT (30.4273612 50.4239438)
Вулиця Івашкевича,POINT (30.4518423 50.505525)
вулиця Межова,POINT (30.4283698 50.5040691)
вулиця Межова,POINT (30.4297609 50.5036868)
вул. Олександри Екстер,POINT (30.6199645 50.5241212)
вул. Олександри Екстер,POINT (30.6195585 50.5239813)
вул. Костянтина Данькевича,POINT (30.6192622 50.5201217)
Музей «Кирилівська церква»,POINT (30.4711775 50.4850266)
Музей «Кирилівська церква»,POINT (30.4709295 50.4843366)
Петропавлівська площа,POINT (30.461481 50.4938785)
Сирецька вулиця,POINT (30.4631617 50.4921737)
Вулиця Рилєєва,POINT (30.4680845 50.4886809)
Куренівський парк,POINT (30.471184 50.4868348)
Куренівський ринок,POINT (30.4595928 50.4950405)
вул. Ділова,POINT (30.5162022 50.4306531)
Вул. Докучаєвська,POINT (30.5016894 50.4257146)
вул. Архітектора Ніколаєва,POINT (30.5928093 50.5098481)
Кінотеатр «Флоренція»,POINT (30.6008206 50.5059713)
АТС,POINT (30.5986248 50.5084744)
АТС,POINT (30.5981384 50.5084277)
Завод Буревісник,POINT (30.6138231 50.4151065)
"Магазин ""ЕКО""",POINT (30.6174937 50.4159123)
Вул. Здолбунівська,POINT (30.6206211 50.4171907)
Вул. Володимира Сосюри,POINT (30.6267484 50.4445963)
Ощадбанк,POINT (30.4357603 50.5036376)
Вулиця Наталії Ужвій,POINT (30.4401497 50.5044623)
Масив Мостицький,POINT (30.4434567 50.5052534)
"ж/к ""Варшавський мікрорайон""",POINT (30.4189342 50.5053924)
"ж/к ""Варшавський мікрорайон""",POINT (30.419362 50.5050542)
проспект Георгія Гонгадзе,POINT (30.4097335 50.507183)
Універсам,POINT (30.4110392 50.5123218)
Аптека,POINT (30.4161625 50.514276)
пр. Алішера Навої,POINT (30.5964871 50.4756492)
Вул. Івана Миколайчука,POINT (30.5973968 50.4314034)
вул. Привокзальна,POINT (30.6373418 50.4267651)
вул. Новодарницька,POINT (30.6437091 50.4247729)
вул. Тростянецька,POINT (30.6544857 50.4197194)
Житловий комплекс «Мега-сіті»,POINT (30.6325672 50.4330578)
вул. Тростянецька,POINT (30.6557467 50.4186196)
"Культурний кластер ""Краків""",POINT (30.5916354 50.4405707)
Біла Дача,POINT (30.6086773 50.3684465)
Зарічна,POINT (30.6052386 50.3922071)
ст. м. Славутич,POINT (30.6055229 50.3919643)
ст. м. Славутич,POINT (30.6033778 50.3931473)
СоцЗабез,POINT (30.6281684 50.5256712)
вул. Миколи Закревського,POINT (30.6285475 50.5282254)
Метро Дарниця,POINT (30.6134256 50.455079)
Метро Дарниця,POINT (30.6138051 50.4556081)
ст. м. Дніпро,POINT (30.5586481 50.4413361)
вул. Вікентія Беретті,POINT (30.6006015 50.5126246)
Лук'янівська площа,POINT (30.4801821 50.4619794)
Станція метро «Лук'янівська»,POINT (30.4822267 50.4625391)
Станція метро «Лук'янівська»,POINT (30.4821677 50.4624114)
Контрактова площа,POINT (30.5188889 50.4652004)
Білицька вулиця,POINT (30.4570219 50.4963418)
Массив Мостицкий,POINT (30.44105 50.5025399)
Масив Мостицький,POINT (30.4408033 50.5030473)
Вулиця Мостицька,POINT (30.4510369 50.5006468)
вулиця Глибочицька,POINT (30.485553 50.4597155)
вул. Олександри Екстер 8а,POINT (30.6097319 50.5242216)
ст. м. Звіринецька,POINT (30.543264 50.4175371)
Академіка Білецького вулиця,POINT (30.4144281 50.43)
Відрадний проспект,POINT (30.4256708 50.424003)
Добруська вулиця,POINT (30.4178548 50.4272679)
Площа Космонавтів,POINT (30.4562351 50.431382)
"Залізнична станція ""Караваєві Дачі""",POINT (30.4502312 50.4378755)
Караваєві Дачі,POINT (30.4485473 50.4386469)
Універсам,POINT (30.6086289 50.5087988)
вул. Вікентія Беретті,POINT (30.6043522 50.5065009)
Станція метро «Лук'янівська»,POINT (30.4833471 50.4617897)
Вул. Татарська,POINT (30.4865349 50.4693571)
Проспект Свободи,POINT (30.4227859 50.5141339)
Універсам,POINT (30.4106192 50.5122168)
Проспект Свободи,POINT (30.4222295 50.5145452)
Бульв. Верховної Ради,POINT (30.6150631 50.4479633)
просп. Миру,POINT (30.6152378 50.4452954)
вул. Сергія Набоки,POINT (30.6174504 50.452229)
Ст. м. «Дарниця»,POINT (30.6111491 50.4537783)
вул. Вінстона Черчилля,POINT (30.6326448 50.4548756)
Гуртожиток №4,POINT (30.4781184 50.3894727)
Вул. Самійла Кішки,POINT (30.4601454 50.3832007)
Гуртожиток №4,POINT (30.477599 50.3891624)
Кінотеатр,POINT (30.6279492 50.4763284)
Вул. Юлії Здановської,POINT (30.4820384 50.3900096)
Університетська клініка,POINT (30.4728233 50.3882158)
Університетська клініка,POINT (30.4726011 50.3879574)
Автостоянка «Дублер»,POINT (30.4655952 50.3784741)
Льодовий стадіон,POINT (30.463991 50.3740372)
Фабрика «Киянка»,POINT (30.493605 50.3940933)
Вул. Затишна,POINT (30.6263091 50.4247058)
Вул. Тепловозна,POINT (30.632395 50.4264844)
Вул. Героїв Маріуполя,POINT (30.4560542 50.3771513)
просп. Академіка Глушкова,POINT (30.4596847 50.3691031)
Готель «Голосіївський»,POINT (30.486309 50.384023)
Вул. Полковника Потєхіна,POINT (30.4898686 50.3831058)
вулиця Василя Овсієнка,POINT (30.4707034 50.4206869)
вулиця Василя Овсієнка,POINT (30.470399 50.421078)
Ст. м. «Дарниця»,POINT (30.6109704 50.453612)
Вул. Ростиславська,POINT (30.4738668 50.4557581)
Кінотеатр Загреб,POINT (30.4917245 50.3866776)
пл. Конотопської Битви,POINT (30.6301711 50.4735559)
"Ринок ""Лісовий""",POINT (30.6234084 50.4705421)
Вул. Мистецька,POINT (30.5017486 50.4076738)
Вул. Мистецька,POINT (30.5003345 50.4079169)
Автомагазин,POINT (30.5860436 50.4821988)
Школа ім. Лобановського,POINT (30.5064062 50.4077944)
Вул. Федорова,POINT (30.5135916 50.4277103)
Залізничний вокзал «Дарниця»,POINT (30.6488335 50.4308624)
Автосервіс,POINT (30.7035246 50.378613)
Сільгосптехніка,POINT (30.5911486 50.461881)
вул. 25-а Садова,POINT (30.5720127 50.4802123)
вул. 15-а Садова,POINT (30.5776338 50.4737564)
вул. Драгоманова,POINT (30.6352979 50.4176103)
"Ринок ""Позняки""",POINT (30.6440514 50.4125181)
"Ринок ""Позняки""",POINT (30.6434623 50.4128214)
Школа,POINT (30.636365 50.4143833)
Школа,POINT (30.6369604 50.4138023)
Ахматової,POINT (30.6378035 50.4117322)
Магазин,POINT (30.607961 50.3579985)
Вул. Колекторна,POINT (30.6048542 50.3823456)
Вул. Колекторна,POINT (30.6048724 50.383122)
Інститут цукрових буряків,POINT (30.4916037 50.4187444)
Завод «Ремшляхтехніка»,POINT (30.6626652 50.4294514)
Завод «Ремшляхтехніка»,POINT (30.6635641 50.4295451)
Театр «Берегиня»,POINT (30.5952982 50.430712)
Музей авіації,POINT (30.4598812 50.407806)
"Залізнична станція ""Русанівка""",POINT (30.6105766 50.4400334)
Ювелірна фабрика,POINT (30.5160962 50.397962)
Ювелірна фабрика,POINT (30.5157407 50.3986926)
Вулиця Андрія Малишка,POINT (30.6287819 50.4627473)
"Ринок ""Лісовий""",POINT (30.6216744 50.4690219)
Пошта,POINT (30.6365124 50.4738193)
"Ринок ""Лісовий""",POINT (30.6206766 50.469336)
"Ринок ""Лісовий""",POINT (30.6246967 50.4702145)
АТС,POINT (30.6299262 50.4088475)
Кібернетичний центр,POINT (30.443931 50.3615116)
Одеська площа,POINT (30.4559314 50.3683178)
Одеська площа,POINT (30.4554491 50.3684527)
Одеська площа,POINT (30.4583326 50.3697505)
Одеська площа,POINT (30.4577828 50.3700576)
Одеський ринок,POINT (30.4492593 50.3643617)
ст. м. Теремки,POINT (30.4529271 50.3663813)
ст. м. Теремки,POINT (30.4529428 50.3668053)
"ст.м. ""Славутич""",POINT (30.6042096 50.3939922)
Школа ім. Лобановського,POINT (30.5076121 50.4074441)
Маргариновий завод,POINT (30.5294847 50.4046191)
"ст. м. ""Політехнічний інститут""",POINT (30.467767 50.4510747)
Байкове кладовище,POINT (30.5147188 50.4173526)
Вул. Лятошинського,POINT (30.4449528 50.3797019)
Вул. Лятошинського,POINT (30.4455791 50.3801572)
Вулиця Геофізиків,POINT (30.6940434 50.390236)
Дарницька площа,POINT (30.6281473 50.4426539)
Дарницька площа,POINT (30.6272348 50.4439469)
Дарницька площа,POINT (30.6275806 50.4436343)
АТС,POINT (30.6297582 50.4079861)
ст.м. Деміївська,POINT (30.5173963 50.4043055)
ст. м. Виставковий центр,POINT (30.4786587 50.3814871)
ст.м. Голосіївська,POINT (30.5106185 50.397795)
Вул. Михайла Стельмаха,POINT (30.5051273 50.3922519)
Вул. Михайла Стельмаха,POINT (30.5057044 50.3923427)
ст.м. Либідська,POINT (30.5247995 50.411846)
ст.м. Деміївська,POINT (30.5165368 50.4047112)
Автобусний парк №1,POINT (30.4959671 50.3946864)
Автобусний парк №1,POINT (30.4977489 50.3947476)
Фабрика «Киянка»,POINT (30.4909759 50.3938847)
Вул. М.Стельмаха,POINT (30.5024676 50.395909)
Вул. С.Ковалевської,POINT (30.4660793 50.3855401)
ст.м. Васильківська,POINT (30.4864684 50.3929065)
ст. м. Дарниця,POINT (30.6128236 50.4574993)
ст. м. Дарниця,POINT (30.613015 50.4574175)
"станція метро ""Дарниця""",POINT (30.6135776 50.4548475)
ст.м. Палац Україна,POINT (30.521015 50.4205487)
Голосіївська площа,POINT (30.5085195 50.3976054)
Вул. Степана Рудницького,POINT (30.4582528 50.386675)
Вул. Степана Рудницького,POINT (30.459713 50.3873293)
Вул. Ковпака,POINT (30.5234664 50.4166723)
